curve,x,y
roc,0.318063,1.0
roc,0.319045,1.0
roc,0.319706,1.0
roc,0.320667,1.0
roc,0.322203,1.0
roc,0.323035,1.0
roc,0.323974,1.0
roc,0.325233,1.0
roc,0.325745,1.0
roc,0.326385,1.0
roc,0.326619,1.0
roc,0.327003,1.0
roc,0.32871,1.0
roc,0.328945,1.0
roc,0.329607,1.0
roc,0.331783,1.0
roc,0.332188,1.0
roc,0.333639,1.0
roc,0.335453,1.0
roc,0.336818,1.0
roc,0.338333,1.0
roc,0.339357,1.0
roc,0.339784,1.0
roc,0.340552,1.0
roc,0.341683,1.0
roc,0.341832,1.0
roc,0.342152,1.0
roc,0.343646,1.0
roc,0.344542,1.0
roc,0.345524,1.0
roc,0.346078,1.0
roc,0.346505,1.0
roc,0.346697,1.0
roc,0.347508,1.0
roc,0.348767,1.0
roc,0.349898,1.0
roc,0.35026,1.0
roc,0.350623,1.0
roc,0.35137,1.0
roc,0.352053,1.0
roc,0.352394,1.0
roc,0.353055,1.0
roc,0.353695,1.0
roc,0.354805,1.0
roc,0.35536,1.0
roc,0.356299,1.0
roc,0.356853,1.0
roc,0.357749,1.0
roc,0.358027,1.0
roc,0.358646,1.0
roc,0.359115,1.0
roc,0.359755,1.0
roc,0.359968,1.0
roc,0.36095,1.0
roc,0.361633,1.0
roc,0.362166,1.0
roc,0.362443,1.0
roc,0.363404,1.0
roc,0.364513,1.0
roc,0.365239,1.0
roc,0.365516,1.0
roc,0.366199,1.0
roc,0.366903,1.0
roc,0.368076,1.0
roc,0.369143,1.0
roc,0.369399,1.0
roc,0.370082,1.0
roc,0.370573,1.0
roc,0.371469,1.0
roc,0.37213,1.0
roc,0.372322,1.0
roc,0.372898,1.0
roc,0.373581,1.0
roc,0.374243,1.0
roc,0.374435,1.0
roc,0.375907,1.0
roc,0.376952,1.0
roc,0.377464,1.0
